model,scenario,chemical_name,rmse_gain_vs_d0
S2B D2 hierarchical Morgan experimental FC,val_chem_only,Pentamidine isethionate,-0.08267867565155029
S2B D2 hierarchical Morgan experimental FC,val_chem_only,Raloxifene hydrochloride,-0.005734443664550781
S2B D2 hierarchical Morgan experimental FC,val_chem_only,Sulfometuron methyl,0.020019471645355225
S2B D2 hierarchical Morgan experimental FC,val_strain_only,"(1R, 2S, 5R) - (-) - Menthol",-0.02172785997390747
S2B D2 hierarchical Morgan experimental FC,val_strain_only,1-10 Phenanthroline monohydrate,-0.021425604820251465
S2B D2 hierarchical Morgan experimental FC,val_strain_only,4-Hydroxytamoxifen,-0.12518703937530518
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Amiodarone hydrochloride,-0.0921674370765686
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Anisomycin,-0.01671910285949707
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Artemisinin,-0.021051347255706787
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Brefeldin A,-0.022194206714630127
S2B D2 hierarchical Morgan experimental FC,val_strain_only,CHX,0.06420749425888062
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Cisplatin,-0.00503915548324585
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Clomiphene citrate,-0.029104113578796387
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Clotrimazole,-0.02439093589782715
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Cyclopiazonic acid,-0.04082459211349487
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Desipramine hydrochloride,-0.021416783332824707
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Dyclonine hydrochloride,-0.023339152336120605
S2B D2 hierarchical Morgan experimental FC,val_strain_only,EDTA,0.06564861536026001
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Emodin,-0.011174380779266357
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Geldanamycin,-0.0210840106010437
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Haloperidol,-0.02110910415649414
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Harmine hydrochloride,-0.02122098207473755
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Hoechst 33258,0.04729980230331421
S2B D2 hierarchical Morgan experimental FC,val_strain_only,LY 294002 hydrochloride,-0.00337904691696167
S2B D2 hierarchical Morgan experimental FC,val_strain_only,NaCl,-0.0010031461715698242
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Nigericin,0.04639464616775513
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Nocodazole,-0.01762545108795166
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Nystatin dihydrate,0.05386465787887573
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Oligomycin,-0.013108611106872559
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Parthenolide,-0.023620903491973877
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Rapamycin,0.06155133247375488
S2B D2 hierarchical Morgan experimental FC,val_strain_only,SDS,0.08225053548812866
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Sorbitol,0.0680503249168396
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Staurosporine,-0.021658122539520264
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Trichostatin A,-0.01464688777923584
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Trifluoperazine dihydrochloride,-0.025497913360595703
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Tunicamycin,-0.0036193132400512695
S2B D2 hierarchical Morgan experimental FC,val_strain_only,U-73122,-0.013379335403442383
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Valinomycin,-0.022656142711639404
S2B D2 hierarchical Morgan experimental FC,val_strain_only,Wortmannin,0.06755435466766357
S2B D2 hierarchical Morgan experimental FC,val_time,"(1R, 2S, 5R) - (-) - Menthol",0.029777944087982178
S2B D2 hierarchical Morgan experimental FC,val_time,4-Hydroxytamoxifen,0.34231799840927124
S2B D2 hierarchical Morgan experimental FC,val_time,Amiodarone hydrochloride,0.2493288516998291
S2B D2 hierarchical Morgan experimental FC,val_time,Anisomycin,0.04765957593917847
S2B D2 hierarchical Morgan experimental FC,val_time,Artemisinin,0.025621354579925537
S2B D2 hierarchical Morgan experimental FC,val_time,Brefeldin A,0.03018730878829956
S2B D2 hierarchical Morgan experimental FC,val_time,CHX,0.051381707191467285
S2B D2 hierarchical Morgan experimental FC,val_time,Cisplatin,-0.006485164165496826
S2B D2 hierarchical Morgan experimental FC,val_time,Clomiphene citrate,0.004630178213119507
S2B D2 hierarchical Morgan experimental FC,val_time,Clotrimazole,0.07992491126060486
S2B D2 hierarchical Morgan experimental FC,val_time,Cyclopiazonic acid,0.1327061653137207
S2B D2 hierarchical Morgan experimental FC,val_time,Desipramine hydrochloride,-0.01153680682182312
S2B D2 hierarchical Morgan experimental FC,val_time,Dyclonine hydrochloride,-0.006058633327484131
S2B D2 hierarchical Morgan experimental FC,val_time,EDTA,0.06167477369308472
S2B D2 hierarchical Morgan experimental FC,val_time,Emodin,0.03523153066635132
S2B D2 hierarchical Morgan experimental FC,val_time,Geldanamycin,-0.006649285554885864
S2B D2 hierarchical Morgan experimental FC,val_time,Haloperidol,-0.09219413995742798
S2B D2 hierarchical Morgan experimental FC,val_time,Harmine hydrochloride,0.010038197040557861
S2B D2 hierarchical Morgan experimental FC,val_time,Hoechst 33258,0.038767337799072266
S2B D2 hierarchical Morgan experimental FC,val_time,LY 294002 hydrochloride,-0.01977217197418213
S2B D2 hierarchical Morgan experimental FC,val_time,NaCl,-0.005802541971206665
S2B D2 hierarchical Morgan experimental FC,val_time,Nigericin,0.00986635684967041
S2B D2 hierarchical Morgan experimental FC,val_time,Nocodazole,0.05118879675865173
S2B D2 hierarchical Morgan experimental FC,val_time,Nystatin dihydrate,0.03502547740936279
S2B D2 hierarchical Morgan experimental FC,val_time,Oligomycin,-0.11029484868049622
S2B D2 hierarchical Morgan experimental FC,val_time,Parthenolide,0.05527091026306152
S2B D2 hierarchical Morgan experimental FC,val_time,Rapamycin,0.05680587887763977
S2B D2 hierarchical Morgan experimental FC,val_time,SDS,0.0852845311164856
S2B D2 hierarchical Morgan experimental FC,val_time,Sorbitol,0.0705314576625824
S2B D2 hierarchical Morgan experimental FC,val_time,Staurosporine,0.05236905813217163
S2B D2 hierarchical Morgan experimental FC,val_time,Trichostatin A,0.023734450340270996
S2B D2 hierarchical Morgan experimental FC,val_time,Trifluoperazine dihydrochloride,0.04140844941139221
S2B D2 hierarchical Morgan experimental FC,val_time,Tunicamycin,0.0543215274810791
S2B D2 hierarchical Morgan experimental FC,val_time,U-73122,0.03278908133506775
S2B D2 hierarchical Morgan experimental FC,val_time,Valinomycin,0.017271697521209717
S2B D2 hierarchical Morgan experimental FC,val_time,Wortmannin,0.07364609837532043
