structure,scope,level,rms,max_abs
hierarchical_batch,instrument_fold_4_holdout,instrument,0.0,0.0
hierarchical_batch,instrument_fold_4_holdout,plate,0.0,0.0
hierarchical_batch,instrument_fold_4_holdout,batch,0.31785782412281705,0.5032436847686768
no_batch,validation_controls,source,0.0,0.0
no_batch,validation_controls,instrument,0.0,0.0
no_batch,validation_controls,plate,0.0,0.0
no_batch,validation_controls,batch,0.0,0.0
flat_batch,validation_controls,source,0.0,0.0
flat_batch,validation_controls,instrument,0.0,0.0
flat_batch,validation_controls,plate,0.0,0.0
flat_batch,validation_controls,batch,0.6083981164918498,1.364807367324829
hierarchical_batch,validation_controls,source,0.5206343808290133,1.051267147064209
hierarchical_batch,validation_controls,instrument,0.1862724912940223,0.5882687568664551
hierarchical_batch,validation_controls,plate,0.04459229594960706,0.2861925959587097
hierarchical_batch,validation_controls,batch,0.6507221414068585,1.7857710123062134
