raw_name,std_name,entity_type,parent_name,query_name,notes,pubchem_cid,canonical_smiles,isomeric_smiles,molecular_formula,molecular_weight,source,source_version,review_status
Fluconazole,Fluconazole,compound,,Fluconazole,,3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,C13H12F2N6O,306.27,PubChem PUG REST,2026-08-13,auto_fetched
Geldanamycin,Geldanamycin,compound,,Geldanamycin,复杂天然产物,5288382,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC,C29H40N2O9,560.6,PubChem PUG REST,2026-08-13,auto_fetched
Haloperidol,Haloperidol,compound,,Haloperidol,,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,C21H23ClFNO2,375.9,PubChem PUG REST,2026-08-13,auto_fetched
Hoechst 33258,Hoechst 33258,compound,,Hoechst 33258,,2392,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O,C25H24N6O,424.5,PubChem PUG REST,2026-08-13,auto_fetched
Hydroxyurea,Hydroxyurea,compound,,Hydroxyurea,,3657,C(=O)(N)NO,C(=O)(N)NO,CH4N2O2,76.055,PubChem PUG REST,2026-08-13,auto_fetched
Hygromycin B,Hygromycin B,compound,,Hygromycin B,氨基糖苷,56928061,CNC1CC(C(C(C1O)OC2C3C(C(C(O2)CO)O)OC4(O3)C(C(C(C(O4)C(CO)N)O)O)O)O)N,CN[C@H]1C[C@H]([C@@H]([C@H]([C@@H]1O)O[C@H]2[C@@H]3[C@H]([C@H]([C@H](O2)CO)O)OC4(O3)[C@@H]([C@H]([C@H]([C@H](O4)[C@H](CO)N)O)O)O)O)N,C20H37N3O13,527.5,PubChem PUG REST,2026-08-13,auto_fetched
Neomycin B,Neomycin B,compound,,Neomycin B,氨基糖苷，混合物,8378,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N,C23H46N6O13,614.6,PubChem PUG REST,2026-08-13,auto_fetched
Nigericin,Nigericin,compound,,Nigericin,离子载体,34230,CC1CCC(OC1C(C)C(=O)O)CC2CC(C(C3(O2)C(CC(O3)(C)C4CCC(O4)(C)C5C(CC(O5)C6C(CC(C(O6)(CO)O)C)C)C)C)C)OC,C[C@H]1CC[C@@H](O[C@H]1[C@@H](C)C(=O)O)C[C@@H]2C[C@H]([C@H]([C@@]3(O2)[C@@H](C[C@@](O3)(C)[C@H]4CC[C@@](O4)(C)[C@H]5[C@H](C[C@@H](O5)[C@@H]6[C@H](C[C@H]([C@@](O6)(CO)O)C)C)C)C)C)OC,C40H68O11,725.0,PubChem PUG REST,2026-08-13,auto_fetched
Nocodazole,Nocodazole,compound,,Nocodazole,,4122,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,C14H11N3O3S,301.32,PubChem PUG REST,2026-08-13,auto_fetched
Oligomycin,Oligomycin A,compound,,Oligomycin A,混合物，取 A 组分,52947716,CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C,CC[C@@H]\1CC[C@H]2[C@H]([C@H]([C@@H]([C@]3(O2)CC[C@@H]([C@@H](O3)C[C@@H](C)O)C)C)OC(=O)/C=C/[C@@H]([C@H]([C@@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@]([C@H]([C@@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C,C45H74O11,791.1,PubChem PUG REST,2026-08-13,auto_fetched
Parthenolide,Parthenolide,compound,,Parthenolide,,6473881,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,C/C/1=C\CC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C,C15H20O3,248.32,PubChem PUG REST,2026-08-13,auto_fetched
Plumbagin,Plumbagin,compound,,Plumbagin,,10205,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,C11H8O3,188.18,PubChem PUG REST,2026-08-13,auto_fetched
Rapamycin,Sirolimus,compound,,Sirolimus,Rapamycin=Sirolimus,5284616,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,C51H79NO13,914.2,PubChem PUG REST,2026-08-13,auto_fetched
Staurosporine,Staurosporine,compound,,Staurosporine,,44259,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,C28H26N4O3,466.5,PubChem PUG REST,2026-08-13,auto_fetched
Sulfometuron methyl,Sulfometuron methyl,compound,,Sulfometuron methyl,,52997,CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)C,CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)C,C15H16N4O5S,364.4,PubChem PUG REST,2026-08-13,auto_fetched
Tamoxifen,Tamoxifen,compound,,Tamoxifen,,2733526,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,C26H29NO,371.5,PubChem PUG REST,2026-08-13,auto_fetched
Trichostatin A,Trichostatin A,compound,,Trichostatin A,,444732,CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,C17H22N2O3,302.37,PubChem PUG REST,2026-08-13,auto_fetched
Tunicamycin,Tunicamycin,compound,,Tunicamycin,复杂天然产物，混合物；以 A1 主组分(CID 6433557)代表,6433557,CC(C)CC=CC(=O)NC1C(C(C(OC1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CC(C3C(C(C(O3)N4C=CC(=O)NC4=O)O)O)O)O)O,CC(C)C/C=C/C(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)CC([C@@H]3[C@H]([C@H]([C@@H](O3)N4C=CC(=O)NC4=O)O)O)O)O)O,C30H46N4O16,718.7,PubChem PUG REST,2026-08-13,auto_fetched
U-73122,U-73122,compound,,U-73122,,104794,CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC,C29H40N2O3,464.6,PubChem PUG REST,2026-08-13,auto_fetched
Valinomycin,Valinomycin,compound,,Valinomycin,环肽,3000706,CC1C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C,C[C@H]1C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C,C54H90N6O18,1111.3,PubChem PUG REST,2026-08-13,auto_fetched
Wortmannin,Wortmannin,compound,,Wortmannin,,312145,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C,C23H24O8,428.4,PubChem PUG REST,2026-08-13,auto_fetched
