model,scenario,subset,n_samples,n_valid_positions,log2_rmse,mae,global_r2,sample_pcc_median,sample_r2_median,protein_pcc_median,protein_r2_median,sample_id_sha256
S2B D0 hierarchical none Huber,val_chem_only,common_intersection,981,3577143,0.5477526187896729,0.3861697316169739,0.9595771038680352,0.983356659423208,0.963578028586112,0.8361784304381075,0.6640693745117747,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
S2B D2 hierarchical Morgan experimental FC,val_chem_only,common_intersection,981,3577143,0.5794022083282471,0.4074844121932983,0.9547708119522176,0.9817290388095482,0.9584831868974704,0.8145855930422896,0.6281952053268478,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
S2B D0 hierarchical none Huber,val_strain_only,common_intersection,1313,4824234,0.765321671962738,0.5283350944519043,0.9194196258611936,0.9626094089982286,0.9208852163411944,0.755859358729608,0.3246585911714882,2f0c6ab08f5598c6f9d129b0f840d05236516315453a522f568ffeb35555395a
S2B D2 hierarchical Morgan experimental FC,val_strain_only,common_intersection,1313,4824234,0.7529476881027222,0.5189709663391113,0.922004268932481,0.96378965264475,0.9240382251816204,0.7794555300482388,0.3732037572707846,2f0c6ab08f5598c6f9d129b0f840d05236516315453a522f568ffeb35555395a
S2B D0 hierarchical none Huber,val_both,common_intersection,266,960434,0.8082606196403503,0.5604541301727295,0.9119149866523548,0.96085383267433,0.9121728649677524,0.8256924137655874,0.4432267302670045,1072f25208f83888fe22899d36c4cb09c4a5b709c6d4ee9f1a11457917087689
S2B D2 hierarchical Morgan experimental FC,val_both,common_intersection,266,960434,0.8114367127418518,0.5650421977043152,0.9112213519938278,0.9613629076799964,0.9134972373971236,0.8039235832887534,0.4159155588236857,1072f25208f83888fe22899d36c4cb09c4a5b709c6d4ee9f1a11457917087689
S2B D0 hierarchical none Huber,val_time,common_intersection,134,486393,0.5496427416801453,0.3812069296836853,0.9590306581220548,0.9833610811042724,0.9619110395457146,0.7598831152250698,0.5551217760339792,4cc87d58be7a8f5c6ca51803b8bc55e9b0e1cf11acb46ad87c8e4610ac31913c
S2B D2 hierarchical Morgan experimental FC,val_time,common_intersection,134,486393,0.5093175172805786,0.3525953292846679,0.9648216706853509,0.9851206581069,0.9679564814133186,0.8009127230032389,0.6271793158005887,4cc87d58be7a8f5c6ca51803b8bc55e9b0e1cf11acb46ad87c8e4610ac31913c
S2C novelty-gated ensemble,val_chem_only,common_intersection,981,3577143,0.5477526187896729,0.3861697316169739,0.9595771038680353,0.9833566594232079,0.9635780285861119,0.8361784304381075,0.6640693745117747,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
S2C novelty-gated ensemble,val_strain_only,common_intersection,1313,4824234,0.7180272936820984,0.49831533432006836,0.929071112868913,0.9674192174907713,0.9320821256370643,0.7729535683753612,0.3758455997050141,2f0c6ab08f5598c6f9d129b0f840d05236516315453a522f568ffeb35555395a
S2C novelty-gated ensemble,val_both,common_intersection,266,960434,0.8082606196403503,0.5604541301727295,0.9119149866523547,0.9608538326743301,0.9121728649677525,0.8256924137655874,0.44322673026700454,1072f25208f83888fe22899d36c4cb09c4a5b709c6d4ee9f1a11457917087689
S2C novelty-gated ensemble,val_time,common_intersection,134,486393,0.5093175172805786,0.35259532928466797,0.9648216706853507,0.9851206581069001,0.9679564814133186,0.8009127230032389,0.6271793158005887,4cc87d58be7a8f5c6ca51803b8bc55e9b0e1cf11acb46ad87c8e4610ac31913c
