model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,absolute_mae,raw_fc_pcc,raw_fc_rmse,raw_fc_direction_accuracy
S1 B anchor Morgan Huber,val_time,NaCl,6,14321,0.5245110392570496,0.3704693615436554,0.2959914606609264,0.5245110392570496,0.603798617414985
S1 B anchor Morgan Huber,val_time,Nigericin,3,10307,0.6205733418464661,0.4476734697818756,0.3574913168213082,0.6205733418464661,0.609100611235083
S1 B anchor Morgan Huber,val_time,Nocodazole,3,11312,0.5263869762420654,0.36688029766082764,0.30286034826695757,0.5263869762420654,0.625
S1 B anchor Morgan Huber,val_time,Nystatin dihydrate,1,3682,0.5081159472465515,0.3536022901535034,0.2041573124144474,0.5081159472465515,0.5839217816404129
S1 B anchor Morgan Huber,val_time,Oligomycin,1,3478,0.5354167222976685,0.37948286533355713,0.41898755121859854,0.5354167222976685,0.6495112133410006
S1 B anchor Morgan Huber,val_time,Parthenolide,2,6160,0.8349064588546753,0.6099770665168762,0.16740397113793723,0.8349064588546753,0.5670454545454545
S1 B anchor Morgan Huber,val_time,Rapamycin,7,21776,0.46842658519744873,0.32046061754226685,0.35982292850109676,0.46842658519744873,0.6397409992652462
S1 B anchor Morgan Huber,val_time,SDS,6,21587,0.5395302772521973,0.37571853399276733,0.2642344835158566,0.5395302772521973,0.5931347570296938
S1 B anchor Morgan Huber,val_time,Sorbitol,10,28829,0.529854953289032,0.37948793172836304,0.3987055302433706,0.529854953289032,0.6154566582260917
S1 B anchor Morgan Huber,val_time,Staurosporine,3,11688,0.4239371120929718,0.2857398986816406,0.36596089524560327,0.4239371120929718,0.6405715263518138
S1 B anchor Morgan Huber,val_time,Trichostatin A,6,22699,0.605782687664032,0.4323350787162781,0.3017476201232124,0.605782687664032,0.5820961275827129
S1 B anchor Morgan Huber,val_time,Trifluoperazine dihydrochloride,1,3903,0.43687349557876587,0.29844415187835693,0.4328826225735862,0.43687349557876587,0.6123494747630028
S1 B anchor Morgan Huber,val_time,Tunicamycin,2,7673,0.4923025369644165,0.32741406559944153,0.27155322374692403,0.4923025369644165,0.6039358790564316
S1 B anchor Morgan Huber,val_time,U-73122,3,11691,0.4262876808643341,0.2997291088104248,0.3357403236786737,0.4262876808643341,0.6056795825848944
S1 B anchor Morgan Huber,val_time,Valinomycin,3,11328,0.41218996047973633,0.2962111830711365,0.37088991226884754,0.41218996047973633,0.6257062146892656
S1 B anchor Morgan Huber,val_time,Wortmannin,4,15015,0.5416705012321472,0.3800428807735443,0.40033687357980874,0.5416705012321472,0.6365634365634366
