model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,raw_fc_pcc,raw_fc_direction_accuracy,matched_control_rmse,rmse_gain_vs_matched_control
S2C seed1,val_strain_only,Brefeldin A,48,179607,0.6698042154312134,0.2855204361380303,0.6021090492018685,0.3586706817150116,-0.3111335337162018
S2C seed1,val_strain_only,CHX,51,179518,0.7400912642478943,0.2820838558300366,0.5982074220969485,0.4087584316730499,-0.33133283257484436
S2C seed1,val_strain_only,Cisplatin,72,256795,0.7503287196159363,0.2385896088520766,0.5813664596273292,0.3453108072280884,-0.4050179123878479
S2C seed1,val_strain_only,Clomiphene citrate,24,87849,0.6630606055259705,0.27889248318187937,0.5951462168038338,0.340463787317276,-0.32259681820869446
S2C seed1,val_strain_only,Clotrimazole,24,91638,0.6592847108840942,0.3418520976862076,0.6182260634234706,0.378872275352478,-0.2804124355316162
S2C seed1,val_strain_only,Cyclopiazonic acid,24,73547,0.7615618705749512,0.2993128317021839,0.6094606170204088,0.6291213035583496,-0.13244056701660156
S2C seed1,val_strain_only,Desipramine hydrochloride,23,87358,0.6578729152679443,0.35346558163353914,0.6276013645001031,0.39586612582206726,-0.2620067894458771
S2C seed1,val_strain_only,Dyclonine hydrochloride,13,49963,0.6435343027114868,0.3200637021576194,0.6171366811440466,0.35048073530197144,-0.2930535674095154
S2C seed1,val_strain_only,EDTA,144,518606,0.7495337724685669,0.2571977826993605,0.5844552511926202,0.35599082708358765,-0.39354294538497925
S2C seed1,val_strain_only,Emodin,24,86728,0.6669713854789734,0.30116386002096496,0.610460289641177,0.4034174680709839,-0.2635539174079895
S2C seed1,val_strain_only,Geldanamycin,24,87891,0.6711758971214294,0.26754276132014065,0.5952145270846845,0.3497157692909241,-0.32146012783050537
S2C seed1,val_strain_only,Haloperidol,24,91401,0.6591059565544128,0.33399127096074743,0.6215905734072932,0.3767552673816681,-0.28235068917274475
S2C seed1,val_strain_only,Harmine hydrochloride,24,86918,0.7083728313446045,0.2251020062340527,0.5810188913688764,0.43227535486221313,-0.27609747648239136
S2C seed1,val_strain_only,Hoechst 33258,23,83761,0.819290816783905,0.24216384314798237,0.58044913503898,0.6847280859947205,-0.13456273078918457
S2C seed1,val_strain_only,LY 294002 hydrochloride,24,88180,0.6805326342582703,0.30296808017411275,0.6115559083692447,0.442640095949173,-0.2378925383090973
S2C seed1,val_strain_only,NaCl,72,254240,0.798992395401001,0.18304241624272255,0.5720696979232222,0.4323720932006836,-0.3666203022003174
S2C seed1,val_strain_only,Nigericin,24,89166,0.6920891404151917,0.3180886495213736,0.6120830809949981,0.5036889910697937,-0.18840014934539795
S2C seed1,val_strain_only,Nocodazole,24,84550,0.6760693788528442,0.28730241790180727,0.6000354819633353,0.4053686261177063,-0.27070075273513794
S2C seed1,val_strain_only,Nystatin dihydrate,24,87755,0.6731666326522827,0.3746190012565054,0.6338214346760869,0.5283347964286804,-0.1448318362236023
S2C seed1,val_strain_only,Oligomycin,24,78659,0.7148744463920593,0.27487779506450005,0.6033766002618899,0.5178152322769165,-0.19705921411514282
S2C seed1,val_strain_only,Parthenolide,24,88568,0.6569339632987976,0.34717555100550496,0.6306227983018697,0.4310588538646698,-0.2258751094341278
S2C seed1,val_strain_only,Rapamycin,72,259073,0.7842124700546265,0.1899413401279812,0.5614672312437035,0.3784373700618744,-0.4057750999927521
S2C seed1,val_strain_only,SDS,72,255928,0.7640052437782288,0.21781118662353388,0.5695898846550592,0.35737958550453186,-0.4066256582736969
S2C seed1,val_strain_only,Sorbitol,72,253614,0.7791789174079895,0.2299592826301396,0.5858903688282192,0.43918493390083313,-0.33999398350715637
S2C seed1,val_strain_only,Staurosporine,24,91760,0.6591993570327759,0.33143283666787393,0.6191150828247602,0.36498501896858215,-0.2942143380641937
S2C seed1,val_strain_only,Trichostatin A,24,87658,0.6998899579048157,0.2636431431321737,0.587647448036688,0.4485454857349396,-0.2513444721698761
S2C seed1,val_strain_only,Trifluoperazine dihydrochloride,24,91600,0.662285327911377,0.34183764520335264,0.624061135371179,0.39752334356307983,-0.2647619843482971
S2C seed1,val_strain_only,Tunicamycin,24,87789,0.676684558391571,0.2732322906170549,0.5987766121040221,0.38615918159484863,-0.2905253767967224
S2C seed1,val_strain_only,U-73122,24,91663,0.666696310043335,0.3024700239144919,0.6070170079530454,0.36856386065483093,-0.29813244938850403
S2C seed1,val_strain_only,Valinomycin,24,87445,0.6761162877082825,0.25180546290609657,0.5888844416490365,0.3564397096633911,-0.31967657804489136
S2C seed1,val_strain_only,Wortmannin,24,90466,0.6935805082321167,0.3271761957916607,0.6111467291579157,0.5026594400405884,-0.19092106819152832
